65044-1172,Entregado,Arroz del Puerto,4,Britteny Milson,Merrily Plastow,2020-10-18 05:46:23,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
49035-195,Entregado,Arroz Vegetariano,3,Anneliese Darleston,Peterus Hann,2020-04-09 19:37:16,Aenean lectus. Pellentesque eget nunc.
60760-429,En proceso,Arroz Llanero,2,Aguie Matterface,Honoria Calafato,2021-03-18 23:09:05,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
59262-600,Entregado,Chop Suby,2,Bride Plevey,Millie Haggett,2021-03-07 16:53:05,Aenean fermentum.
65643-334,Enviado,Arroz Mediterraneo,1,Shaun Dagworthy,Maxine Cable,2021-03-04 14:03:27,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
36800-091,Solicitado,Chop Suby,2,Emmalee De la croix,Justin Durand,2020-02-02 11:54:16,Maecenas tincidunt lacus at velit.
54973-3111,En proceso,Arroz a la Barbacoa,4,Nickie Bence,Flin Rene,2020-06-07 06:32:08,Ut tellus. Nulla ut erat id mauris vulputate elementum.
30142-670,En proceso,Papas a la Francesa,3,Cchaddie De Mico,Lara Ahlf,2020-08-02 05:05:50,Suspendisse potenti.
59630-700,En proceso,Arroz Mediterraneo,2,Quincey Klishin,Jeannette Manion,2021-01-05 13:10:07,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
50436-0924,En proceso,Arroz del Puerto,2,Shaun Sleford,Clarke Emanson,2020-07-09 09:49:21,Nunc purus. Phasellus in felis.
57237-035,En proceso,Arroz a la Barbacoa,4,Winny Ajsik,Olly McGeorge,2021-02-26 14:12:53,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
51285-442,Enviado,Arroz a la Barbacoa,1,Bellina Carlone,Stan Erat,2020-05-23 02:54:46,Morbi a ipsum. Integer a nibh.
54868-6048,En proceso,Arroz Colombiano,4,Brietta Santino,Alphard Bernaldez,2021-02-28 07:35:10,Duis bibendum. Morbi non quam nec dui luctus rutrum.
63629-5173,Solicitado,Lumpias,1,Emlyn Dunkley,Auberon Ben,2021-03-04 15:43:12,Suspendisse accumsan tortor quis turpis.
55154-2375,Solicitado,Arroz a la Barbacoa,1,Lynna Marzello,Paton Stillert,2021-01-15 13:05:51,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
60760-118,En proceso,Arroz Mediterraneo,4,Jorie Ceschi,Vinnie Rosengart,2020-07-25 09:14:03,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
